model,language,prompt_id,seed,source,category,clip_score,mclip_score
sd15,en,DB001,42,DrawBench,Colors,26.561472,0.255915
sd15,en,DB002,42,DrawBench,Colors,36.309516,0.331503
sd15,en,DB003,42,DrawBench,Colors,26.249948,0.249273
sd15,en,DB004,42,DrawBench,Colors,28.019381,0.276878
sd15,en,DB005,42,DrawBench,Colors,29.527918,0.315572
sd15,en,DB006,42,DrawBench,Colors,30.277985,0.312453
sd15,en,DB007,42,DrawBench,Colors,31.136674,0.302705
sd15,en,DB008,42,DrawBench,Colors,27.86462,0.285977
sd15,en,DB009,42,DrawBench,Colors,27.449059,0.255039
sd15,en,DB010,42,DrawBench,Colors,33.974519,0.345314
sd15,en,DB011,42,DrawBench,Colors,33.08365,0.330158
sd15,en,DB012,42,DrawBench,Colors,32.957196,0.327104
sd15,en,DB013,42,DrawBench,Colors,29.544771,0.280087
sd15,en,DB014,42,DrawBench,Counting,27.66723,0.278963
sd15,en,DB015,42,DrawBench,Counting,30.282936,0.304093
sd15,en,DB016,42,DrawBench,Counting,28.137109,0.303623
sd15,en,DB017,42,DrawBench,Counting,26.932615,0.280097
sd15,en,DB018,42,DrawBench,Counting,33.349904,0.330376
sd15,en,DB019,42,DrawBench,Counting,32.280102,0.334659
sd15,en,DB020,42,DrawBench,Counting,27.523658,0.282193
sd15,en,DB021,42,DrawBench,Counting,32.249045,0.341158
sd15,en,DB022,42,DrawBench,Counting,30.62436,0.320679
sd15,en,DB023,42,DrawBench,Counting,32.170391,0.339055
sd15,en,DB024,42,DrawBench,Counting,27.995855,0.28684
sd15,en,DB025,42,DrawBench,Counting,32.502753,0.322299
sd15,en,DB026,42,DrawBench,Counting,32.314652,0.344071
sd15,en,DB027,42,DrawBench,Positional,30.526161,0.290179
sd15,en,DB028,42,DrawBench,Positional,29.316086,0.302653
sd15,en,DB029,42,DrawBench,Positional,36.46006,0.353582
sd15,en,DB030,42,DrawBench,Positional,24.930197,0.278708
sd15,en,DB031,42,DrawBench,Positional,28.800562,0.295785
sd15,en,DB032,42,DrawBench,Positional,33.76472,0.330049
sd15,en,DB033,42,DrawBench,Positional,29.804552,0.300407
sd15,en,DB034,42,DrawBench,Positional,28.2682,0.255645
sd15,en,DB035,42,DrawBench,Positional,30.425867,0.287462
sd15,en,DB036,42,DrawBench,Positional,32.755116,0.329422
sd15,en,DB037,42,DrawBench,Positional,26.396525,0.265631
sd15,en,DB038,42,DrawBench,Positional,33.905229,0.332205
sd15,en,DB039,42,DrawBench,Text,31.842557,0.318127
sd15,en,DB040,42,DrawBench,Text,30.812168,0.334217
sd15,en,DB041,42,DrawBench,Text,32.179862,0.332439
sd15,en,DB042,42,DrawBench,Text,36.11272,0.34361
sd15,en,DB043,42,DrawBench,Text,33.926418,0.353221
sd15,en,DB044,42,DrawBench,Text,37.64421,0.393834
sd15,en,DB045,42,DrawBench,Text,34.163907,0.361821
sd15,en,DB046,42,DrawBench,Text,28.977498,0.299288
sd15,en,DB047,42,DrawBench,Text,33.428824,0.337134
sd15,en,DB048,42,DrawBench,Text,31.659028,0.338578
sd15,en,DB049,42,DrawBench,Text,34.025136,0.366282
sd15,en,DB050,42,DrawBench,Text,31.75109,0.314523
sd15,en,GB001,42,GenAI-Bench,Spatial Relation,35.316637,0.354732
sd15,en,GB002,42,GenAI-Bench,Spatial Relation,34.358913,0.348302
sd15,en,GB003,42,GenAI-Bench,Spatial Relation,31.911129,0.340919
sd15,en,GB004,42,GenAI-Bench,Spatial Relation,39.651424,0.382682
sd15,en,GB005,42,GenAI-Bench,Spatial Relation,32.490712,0.352853
sd15,en,GB006,42,GenAI-Bench,Spatial Relation,29.689857,0.267771
sd15,en,GB007,42,GenAI-Bench,Spatial Relation,37.042901,0.33394
sd15,en,GB008,42,GenAI-Bench,Spatial Relation,29.076546,0.287173
sd15,en,GB009,42,GenAI-Bench,Spatial Relation,34.556571,0.328034
sd15,en,GB010,42,GenAI-Bench,Spatial Relation,34.304562,0.311978
sd15,en,GB011,42,GenAI-Bench,Spatial Relation,28.986594,0.280231
sd15,en,GB012,42,GenAI-Bench,Spatial Relation,25.444514,0.260242
sd15,en,GB013,42,GenAI-Bench,Spatial Relation,34.424514,0.326401
sd15,en,GB014,42,GenAI-Bench,Spatial Relation,29.257283,0.273717
sd15,en,GB015,42,GenAI-Bench,Spatial Relation,33.150482,0.384022
sd15,en,GB016,42,GenAI-Bench,Spatial Relation,25.878066,0.239557
sd15,en,GB017,42,GenAI-Bench,Spatial Relation,35.047376,0.360227
sd15,en,GB018,42,GenAI-Bench,Spatial Relation,34.566295,0.395221
sd15,en,GB019,42,GenAI-Bench,Spatial Relation,29.026693,0.333431
sd15,en,GB020,42,GenAI-Bench,Spatial Relation,31.970406,0.307813
sd15,en,GB021,42,GenAI-Bench,Spatial Relation,30.963722,0.295058
sd15,en,GB022,42,GenAI-Bench,Spatial Relation,30.693513,0.299845
sd15,en,GB023,42,GenAI-Bench,Spatial Relation,30.917472,0.294683
sd15,en,GB024,42,GenAI-Bench,Spatial Relation,33.734897,0.361575
sd15,en,GB025,42,GenAI-Bench,Spatial Relation,35.499388,0.35053
sd15,en,GB026,42,GenAI-Bench,Attribute,28.497207,0.312676
sd15,en,GB027,42,GenAI-Bench,Attribute,33.445239,0.342281
sd15,en,GB028,42,GenAI-Bench,Attribute,27.067512,0.268742
sd15,en,GB029,42,GenAI-Bench,Attribute,31.879523,0.338337
sd15,en,GB030,42,GenAI-Bench,Attribute,31.606269,0.328575
sd15,en,GB031,42,GenAI-Bench,Attribute,32.007325,0.306977
sd15,en,GB032,42,GenAI-Bench,Attribute,28.731015,0.317683
sd15,en,GB033,42,GenAI-Bench,Attribute,30.257732,0.326253
sd15,en,GB034,42,GenAI-Bench,Attribute,32.467112,0.323421
sd15,en,GB035,42,GenAI-Bench,Attribute,32.059127,0.310377
sd15,en,GB036,42,GenAI-Bench,Attribute,31.937337,0.287
sd15,en,GB037,42,GenAI-Bench,Attribute,30.867317,0.318309
sd15,en,GB038,42,GenAI-Bench,Attribute,33.781606,0.298783
sd15,en,GB039,42,GenAI-Bench,Attribute,33.154893,0.309789
sd15,en,GB040,42,GenAI-Bench,Attribute,31.643203,0.328661
sd15,en,GB041,42,GenAI-Bench,Attribute,27.794507,0.294421
sd15,en,GB042,42,GenAI-Bench,Attribute,29.791614,0.32126
sd15,en,GB043,42,GenAI-Bench,Attribute,32.756865,0.339403
sd15,en,GB044,42,GenAI-Bench,Attribute,30.619285,0.329997
sd15,en,GB045,42,GenAI-Bench,Attribute,31.639642,0.308567
sd15,en,GB046,42,GenAI-Bench,Attribute,39.401194,0.381241
sd15,en,GB047,42,GenAI-Bench,Attribute,34.505621,0.356154
sd15,en,GB048,42,GenAI-Bench,Attribute,31.494653,0.307805
sd15,en,GB049,42,GenAI-Bench,Attribute,34.529704,0.354165
sd15,en,GB050,42,GenAI-Bench,Attribute,27.109179,0.273572
sd15,de,DB001,42,DrawBench,Colors,26.246801,0.270585
sd15,de,DB002,42,DrawBench,Colors,25.661984,0.261029
sd15,de,DB003,42,DrawBench,Colors,21.775648,0.22947
sd15,de,DB004,42,DrawBench,Colors,25.217494,0.257283
sd15,de,DB005,42,DrawBench,Colors,31.453511,0.319519
sd15,de,DB006,42,DrawBench,Colors,29.440829,0.30065
sd15,de,DB007,42,DrawBench,Colors,31.006068,0.293044
sd15,de,DB008,42,DrawBench,Colors,25.994515,0.261741
sd15,de,DB009,42,DrawBench,Colors,35.015404,0.317912
sd15,de,DB010,42,DrawBench,Colors,28.828064,0.281125
sd15,de,DB011,42,DrawBench,Colors,33.835763,0.32374
sd15,de,DB012,42,DrawBench,Colors,28.783336,0.274978
sd15,de,DB013,42,DrawBench,Colors,26.614794,0.254124
sd15,de,DB014,42,DrawBench,Counting,27.614343,0.28316
sd15,de,DB015,42,DrawBench,Counting,26.574078,0.268055
sd15,de,DB016,42,DrawBench,Counting,26.561403,0.301704
sd15,de,DB017,42,DrawBench,Counting,29.672596,0.304462
sd15,de,DB018,42,DrawBench,Counting,31.0828,0.322016
sd15,de,DB019,42,DrawBench,Counting,28.197569,0.267571
sd15,de,DB020,42,DrawBench,Counting,28.807846,0.294249
sd15,de,DB021,42,DrawBench,Counting,31.854048,0.295783
sd15,de,DB022,42,DrawBench,Counting,26.001686,0.256741
sd15,de,DB023,42,DrawBench,Counting,32.981572,0.31201
sd15,de,DB024,42,DrawBench,Counting,29.968822,0.306986
sd15,de,DB025,42,DrawBench,Counting,28.226435,0.293173
sd15,de,DB026,42,DrawBench,Counting,33.067018,0.317777
sd15,de,DB027,42,DrawBench,Positional,27.615401,0.260624
sd15,de,DB028,42,DrawBench,Positional,16.945104,0.207473
sd15,de,DB029,42,DrawBench,Positional,31.71469,0.288558
sd15,de,DB030,42,DrawBench,Positional,21.043062,0.246393
sd15,de,DB031,42,DrawBench,Positional,26.694933,0.28354
sd15,de,DB032,42,DrawBench,Positional,27.882016,0.285563
sd15,de,DB033,42,DrawBench,Positional,27.251655,0.267229
sd15,de,DB034,42,DrawBench,Positional,24.573691,0.313197
sd15,de,DB035,42,DrawBench,Positional,30.088973,0.290775
sd15,de,DB036,42,DrawBench,Positional,33.539248,0.340757
sd15,de,DB037,42,DrawBench,Positional,23.186399,0.243768
sd15,de,DB038,42,DrawBench,Positional,29.35209,0.294772
sd15,de,DB039,42,DrawBench,Text,37.31485,0.334127
sd15,de,DB040,42,DrawBench,Text,26.195467,0.310763
sd15,de,DB041,42,DrawBench,Text,26.206812,0.305291
sd15,de,DB042,42,DrawBench,Text,35.021615,0.320634
sd15,de,DB043,42,DrawBench,Text,29.300749,0.300278
sd15,de,DB044,42,DrawBench,Text,35.117498,0.356758
sd15,de,DB045,42,DrawBench,Text,28.38912,0.308966
