brief_id,model,language,clip_score
MB001,sd15,en,34.4584
MB001,flux,en,37.1608
MB002,sd15,en,30.5587
MB002,flux,en,32.4003
MB003,sd15,en,27.7911
MB003,flux,en,32.7208
MB004,sd15,en,24.3486
MB004,flux,en,32.8723
MB005,sd15,en,31.6787
MB005,flux,en,32.7277
MB006,sd15,en,31.7432
MB006,flux,en,34.669
MB007,sd15,en,31.4523
MB007,flux,en,37.3163
MB008,sd15,en,32.1102
MB008,flux,en,32.2564
MB009,sd15,en,30.5921
MB009,flux,en,34.4312
MB010,sd15,en,28.4879
MB010,flux,en,31.9649
MB011,sd15,en,34.2625
MB011,flux,en,38.6626
MB012,sd15,en,32.8267
MB012,flux,en,32.2281
MB013,sd15,en,24.3263
MB013,flux,en,31.3551
MB014,sd15,en,29.9248
MB014,flux,en,32.2089
MB015,sd15,en,31.5472
MB015,flux,en,34.4929
MB016,sd15,en,31.5409
MB016,flux,en,33.9137
MB017,sd15,en,33.03
MB017,flux,en,33.9999
MB018,sd15,en,31.5675
MB018,flux,en,35.6788
MB019,sd15,en,24.524
MB019,flux,en,30.9337
MB020,sd15,en,30.9702
MB020,flux,en,34.4029
MB021,sd15,en,31.8715
MB021,flux,en,31.9231
MB022,sd15,en,29.4732
MB022,flux,en,28.528
MB023,sd15,en,31.2341
MB023,flux,en,36.4325
MB024,sd15,en,26.9303
MB024,flux,en,32.4132
MB025,sd15,en,36.0869
MB025,flux,en,35.6325
MB026,sd15,en,32.7693
MB026,flux,en,33.5761
MB027,sd15,en,34.8438
MB027,flux,en,40.8477
MB028,sd15,en,31.224
MB028,flux,en,34.9054
MB029,sd15,en,34.7224
MB029,flux,en,34.3076
MB030,sd15,en,29.0569
MB030,flux,en,33.0372
MB031,sd15,en,31.6975
MB031,flux,en,34.3894
MB032,sd15,en,29.2147
MB032,flux,en,32.1962
MB033,sd15,en,32.8779
MB033,flux,en,44.3814
MB034,sd15,en,36.5821
MB034,flux,en,34.0811
MB035,sd15,en,35.0447
MB035,flux,en,35.9092
MB036,sd15,en,36.1415
MB036,flux,en,37.6373
MB037,sd15,en,32.6692
MB037,flux,en,36.2812
MB038,sd15,en,34.5111
MB038,flux,en,36.6754
MB039,sd15,en,31.8015
MB039,flux,en,32.7048
MB040,sd15,en,31.8915
MB040,flux,en,37.4988
MB041,sd15,en,29.0116
MB041,flux,en,40.6726
MB042,sd15,en,32.8898
MB042,flux,en,39.4143
MB043,sd15,en,36.1547
MB043,flux,en,37.2432
MB044,sd15,en,32.4682
MB044,flux,en,36.4044
MB045,sd15,en,35.2576
MB045,flux,en,36.9525
MB046,sd15,en,38.0293
MB046,flux,en,37.8153
MB047,sd15,en,38.171
MB047,flux,en,38.7938
MB048,sd15,en,32.7821
MB048,flux,en,36.2187
MB049,sd15,en,34.128
MB049,flux,en,39.4056
MB050,sd15,en,31.156
MB050,flux,en,30.5062
MB051,sd15,en,33.1372
MB051,flux,en,36.2567
MB052,sd15,en,33.1538
MB052,flux,en,36.2351
MB053,sd15,en,32.2175
MB053,flux,en,38.6787
MB054,sd15,en,34.8904
MB054,flux,en,36.0885
MB055,sd15,en,31.762
MB055,flux,en,37.6758
MB056,sd15,en,35.9584
MB056,flux,en,37.5891
MB057,sd15,en,42.0424
MB057,flux,en,45.1818
MB058,sd15,en,34.4147
MB058,flux,en,39.0749
MB059,sd15,en,34.0616
MB059,flux,en,41.0348
MB060,sd15,en,33.8084
MB060,flux,en,33.9779
MB061,sd15,en,32.9288
MB061,flux,en,35.5355
MB062,sd15,en,34.5266
MB062,flux,en,35.946
MB063,sd15,en,30.4696
MB063,flux,en,34.4873
MB064,sd15,en,28.54
MB064,flux,en,35.1062
MB065,sd15,en,32.9634
MB065,flux,en,33.0534
MB066,sd15,en,29.7076
MB066,flux,en,30.1241
MB067,sd15,en,33.8425
MB067,flux,en,35.9558
MB068,sd15,en,33.508
MB068,flux,en,33.7963
MB069,sd15,en,25.5373
MB069,flux,en,33.6438
MB070,sd15,en,36.3355
MB070,flux,en,37.0006
MB071,sd15,en,33.222
MB071,flux,en,36.5389
MB072,sd15,en,34.5811
MB072,flux,en,34.0446
MB073,sd15,en,32.3207
MB073,flux,en,37.8059
MB074,sd15,en,31.5125
MB074,flux,en,32.8955
MB075,sd15,en,32.213
MB075,flux,en,30.7946
MB076,sd15,en,33.0629
MB076,flux,en,38.4549
MB077,sd15,en,35.6095
MB077,flux,en,36.1207
MB078,sd15,en,30.3807
MB078,flux,en,35.3602
MB079,sd15,en,30.4949
MB079,flux,en,31.8998
MB080,sd15,en,29.8193
MB080,flux,en,40.6117
MB081,sd15,en,29.3089
MB081,flux,en,34.0115
MB082,sd15,en,29.9371
MB082,flux,en,33.6099
MB083,sd15,en,28.629
MB083,flux,en,37.2159
MB084,sd15,en,37.0153
MB084,flux,en,36.7614
MB085,sd15,en,28.4379
MB085,flux,en,26.7091
MB086,sd15,en,34.434
MB086,flux,en,35.8408
MB087,sd15,en,31.5259
MB087,flux,en,32.8996
MB088,sd15,en,31.9729
MB088,flux,en,29.3142
MB089,sd15,en,32.0002
MB089,flux,en,36.8683
MB090,sd15,en,34.6377
MB090,flux,en,34.9111
MB091,sd15,en,29.3395
MB091,flux,en,35.3373
MB092,sd15,en,31.9536
MB092,flux,en,35.6696
MB093,sd15,en,32.2839
MB093,flux,en,32.7558
MB094,sd15,en,32.8475
MB094,flux,en,34.47
MB095,sd15,en,21.0965
MB095,flux,en,31.8075
MB096,sd15,en,37.6235
MB096,flux,en,34.8138
MB097,sd15,en,31.3029
MB097,flux,en,38.5991
MB098,sd15,en,33.3854
MB098,flux,en,30.9338
MB099,sd15,en,31.5491
MB099,flux,en,37.0404
MB100,sd15,en,30.2924
MB100,flux,en,31.9157
MB101,sd15,en,27.6307
MB101,flux,en,26.7295
MB102,sd15,en,28.1894
MB102,flux,en,35.401
MB103,sd15,en,29.0108
MB103,flux,en,30.8347
MB104,sd15,en,29.7132
MB104,flux,en,32.6301
MB105,sd15,en,29.6077
MB105,flux,en,37.3733
MB106,sd15,en,32.3332
MB106,flux,en,34.0203
MB107,sd15,en,30.7591
MB107,flux,en,32.1774
MB108,sd15,en,36.3629
MB108,flux,en,36.3549
MB109,sd15,en,34.4971
MB109,flux,en,34.8445
MB110,sd15,en,28.9874
MB110,flux,en,32.0037
MB111,sd15,en,27.3587
MB111,flux,en,31.5655
MB112,sd15,en,33.4484
MB112,flux,en,34.784
MB113,sd15,en,27.5276
MB113,flux,en,36.3111
MB114,sd15,en,31.6836
MB114,flux,en,36.7994
MB115,sd15,en,35.7853
MB115,flux,en,35.4567
MB116,sd15,en,32.0928
MB116,flux,en,36.8603
MB117,sd15,en,31.4136
MB117,flux,en,35.5183
MB118,sd15,en,34.2342
MB118,flux,en,34.6868
MB119,sd15,en,37.5162
MB119,flux,en,37.2786
MB120,sd15,en,24.1993
MB120,flux,en,31.7771
MB121,sd15,en,35.2397
MB121,flux,en,43.5751
MB122,sd15,en,33.0121
MB122,flux,en,36.3622
MB123,sd15,en,33.0697
MB123,flux,en,40.6816
MB124,sd15,en,32.4362
MB124,flux,en,32.1635
MB125,sd15,en,38.3378
MB125,flux,en,37.5509
MB126,sd15,en,36.8022
MB126,flux,en,40.7618
MB127,sd15,en,37.6336
MB127,flux,en,39.3098
MB128,sd15,en,35.1549
MB128,flux,en,45.019
MB129,sd15,en,31.8939
MB129,flux,en,35.6053
MB130,sd15,en,32.5758
MB130,flux,en,38.4526
MB131,sd15,en,27.6812
MB131,flux,en,34.7093
MB132,sd15,en,32.2172
MB132,flux,en,33.3322
MB133,sd15,en,29.7228
MB133,flux,en,29.5735
MB134,sd15,en,33.3792
MB134,flux,en,36.9073
MB135,sd15,en,36.5471
MB135,flux,en,35.881
MB136,sd15,en,30.3223
MB136,flux,en,32.4219
MB137,sd15,en,37.9001
MB137,flux,en,32.6354
MB138,sd15,en,31.195
MB138,flux,en,32.0021
MB139,sd15,en,35.985
MB139,flux,en,34.3235
MB140,sd15,en,33.0451
MB140,flux,en,35.4984
MB141,sd15,en,33.0848
MB141,flux,en,36.0536
MB142,sd15,en,30.755
MB142,flux,en,39.8617
MB143,sd15,en,32.4957
MB143,flux,en,42.485
MB144,sd15,en,33.3285
MB144,flux,en,41.6908
MB145,sd15,en,35.5507
MB145,flux,en,37.7133
MB146,sd15,en,32.7647
MB146,flux,en,37.1647
MB147,sd15,en,36.5292
MB147,flux,en,35.4488
MB148,sd15,en,35.9978
MB148,flux,en,31.8738
MB149,sd15,en,33.1258
MB149,flux,en,36.853
