brief_id,model,language,clip_score
MB001,sd15,de,32.3481
MB001,sd15,fr,31.6511
MB001,sd15,es,29.0592
MB001,flux,de,34.3816
MB001,flux,fr,33.254
MB001,flux,es,35.0243
MB002,sd15,de,31.368
MB002,sd15,fr,31.419
MB002,sd15,es,27.9305
MB002,flux,de,31.0044
MB002,flux,fr,30.7288
MB002,flux,es,28.048
MB003,sd15,de,17.7
MB003,sd15,fr,28.0314
MB003,sd15,es,27.3139
MB003,flux,de,32.8833
MB003,flux,fr,32.2728
MB003,flux,es,29.2337
MB004,sd15,de,32.0615
MB004,sd15,fr,30.3924
MB004,sd15,es,34.7544
MB004,flux,de,32.9533
MB004,flux,fr,37.0149
MB004,flux,es,37.6018
MB005,sd15,de,33.0158
MB005,sd15,fr,30.7102
MB005,sd15,es,30.5719
MB005,flux,de,37.2609
MB005,flux,fr,36.4982
MB005,flux,es,30.6235
MB006,sd15,de,31.9235
MB006,sd15,fr,32.0188
MB006,sd15,es,32.2904
MB006,flux,de,35.9071
MB006,flux,fr,35.5678
MB006,flux,es,35.9562
MB007,sd15,de,33.7144
MB007,sd15,fr,35.4925
MB007,sd15,es,28.1236
MB007,flux,de,36.1574
MB007,flux,fr,37.6227
MB007,flux,es,32.7143
MB008,sd15,de,21.417
MB008,sd15,fr,25.7082
MB008,sd15,es,27.9355
MB008,flux,de,27.7658
MB008,flux,fr,30.5653
MB008,flux,es,30.7771
MB009,sd15,de,31.9944
MB009,sd15,fr,31.0915
MB009,sd15,es,32.6498
MB009,flux,de,32.8098
MB009,flux,fr,27.2574
MB009,flux,es,30.362
MB010,sd15,de,28.7941
MB010,sd15,fr,27.5571
MB010,sd15,es,30.0284
MB010,flux,de,31.316
MB010,flux,fr,33.2663
MB010,flux,es,29.5816
MB011,sd15,de,30.703
MB011,sd15,fr,36.3618
MB011,sd15,es,32.3445
MB011,flux,de,30.0795
MB011,flux,fr,34.7199
MB011,flux,es,38.8333
MB012,sd15,de,34.5269
MB012,sd15,fr,33.0261
MB012,sd15,es,34.9904
MB012,flux,de,30.0592
MB012,flux,fr,32.4379
MB012,flux,es,34.3603
MB013,sd15,de,22.7372
MB013,sd15,fr,19.6112
MB013,sd15,es,28.2157
MB013,flux,de,33.6416
MB013,flux,fr,32.2354
MB013,flux,es,32.9551
MB014,sd15,de,33.6364
MB014,sd15,fr,30.5984
