node,language,model,en_score_b,lang_score_b,clcg_b,n_images_b,en_score_c,lang_score_c,clcg_c,n_images_c,deflation,node4_clcg_interpretable
node1,de,sd15,0.5733,0.3733,0.2,150,0.59,0.3733,0.2167,150,-0.0167,True
node2,de,sd15,0.22,0.0933,0.1267,19,0.2867,0.1867,0.1,150,0.0267,True
node3,de,sd15,0.2433,0.0733,0.17,19,0.56,0.3733,0.1867,150,-0.0167,True
node4,de,sd15,0.0,0.0,,0,0.0,0.0,,0,,False
node5,de,sd15,0.1852,0.0759,0.1094,150,0.6024,0.5956,0.0068,150,0.1026,True
node1,fr,sd15,0.5733,0.4267,0.1467,150,0.59,0.4267,0.1633,150,-0.0166,True
node2,fr,sd15,0.22,0.1067,0.1133,22,0.2867,0.14,0.1467,150,-0.0334,True
node3,fr,sd15,0.2433,0.0833,0.16,22,0.56,0.3833,0.1767,150,-0.0167,True
node4,fr,sd15,0.0,0.0,,0,0.0,0.0,,0,,False
node5,fr,sd15,0.1852,0.0882,0.0971,150,0.6024,0.5978,0.0046,150,0.0925,True
node1,es,sd15,0.5733,0.36,0.2133,150,0.59,0.36,0.23,150,-0.0167,True
node2,es,sd15,0.22,0.08,0.14,22,0.2867,0.14,0.1467,150,-0.0067,True
node3,es,sd15,0.2433,0.1,0.1433,22,0.56,0.3633,0.1967,150,-0.0534,True
node4,es,sd15,0.0,0.0,,0,0.0,0.0,,0,,False
node5,es,sd15,0.1852,0.0878,0.0974,150,0.6024,0.5949,0.0075,150,0.0899,True
node1,de,flux,0.9233,0.67,0.2533,150,0.92,0.67,0.25,150,0.0033,True
node2,de,flux,0.6133,0.3267,0.2867,69,0.68,0.38,0.3,150,-0.0133,True
node3,de,flux,0.7967,0.41,0.3867,69,0.9233,0.69,0.2333,150,0.1534,True
node4,de,flux,0.3865,0.275,0.1115,69,0.4714,0.535,-0.0636,150,0.1751,True
node5,de,flux,0.5229,0.2835,0.2394,150,0.6172,0.6126,0.0046,150,0.2348,True
node1,fr,flux,0.9233,0.71,0.2133,150,0.92,0.7033,0.2167,150,-0.0034,True
node2,fr,flux,0.6133,0.3733,0.24,78,0.68,0.46,0.22,150,0.02,True
node3,fr,flux,0.7967,0.4767,0.32,78,0.9233,0.77,0.1533,150,0.1667,True
node4,fr,flux,0.3865,0.3628,0.0237,78,0.4714,0.6587,-0.1873,150,0.211,True
node5,fr,flux,0.5229,0.3207,0.2022,150,0.6172,0.6138,0.0034,150,0.1988,True
node1,es,flux,0.9233,0.6067,0.3167,150,0.92,0.5967,0.3233,150,-0.0066,True
node2,es,flux,0.6133,0.2,0.4133,58,0.68,0.28,0.4,150,0.0133,True
node3,es,flux,0.7967,0.32,0.4767,58,0.9233,0.62,0.3033,150,0.1734,True
node4,es,flux,0.3865,0.2505,0.136,58,0.4714,0.6135,-0.1421,150,0.2781,True
node5,es,flux,0.5229,0.2382,0.2847,150,0.6172,0.6116,0.0056,150,0.2791,True
