hypothesis_family,node,language,model,test_type,n_pairs,n_nonzero_or_discordant,clcg_estimate,bca_ci_low,bca_ci_high,statistic,p_raw,effect_size,p_bonferroni,significant_bonferroni,p_bh,significant_bh,node4_clcg_interpretable
rq2_preregistered,compliance_overall,de,sd15,wilcoxon,150,148,0.123,0.0847,0.1627,2546.0,0.0,0.4669,0.0,True,,,True
rq2_preregistered,compliance_overall,fr,sd15,wilcoxon,150,147,0.1141,0.0784,0.1511,2387.5,0.0,0.4867,0.0,True,,,True
rq2_preregistered,compliance_overall,es,sd15,wilcoxon,150,149,0.1384,0.0997,0.1774,2066.0,0.0,0.5467,0.0,True,,,True
rq2_preregistered,compliance_overall,de,flux,wilcoxon,150,150,0.1694,0.1288,0.2137,2092.0,0.0,0.547,0.0,True,,,True
rq2_preregistered,compliance_overall,fr,flux,wilcoxon,150,148,0.1025,0.0644,0.1425,3194.0,9e-06,0.3649,5.4e-05,True,,,True
rq2_preregistered,compliance_overall,es,flux,wilcoxon,150,150,0.2098,0.1689,0.2497,1360.0,0.0,0.6591,0.0,True,,,True
exploratory_heatmap,node1,de,sd15,mcnemar,150,47,0.2167,0.14,0.2867,19.1489,1.2e-05,4.5218,,,1.7e-05,True,True
exploratory_heatmap,node2,de,sd15,wilcoxon,150,47,0.1,0.011,0.1867,384.0,0.057001,0.2778,,,0.059193,False,True
exploratory_heatmap,node3,de,sd15,wilcoxon,150,87,0.1867,0.12,0.2533,849.0,1e-06,0.4833,,,2e-06,True,True
exploratory_heatmap,node5,de,sd15,wilcoxon,150,150,0.0068,0.0057,0.008,1051.5,0.0,0.7064,,,0.0,True,True
exploratory_heatmap,node1,fr,sd15,mcnemar,150,43,0.1633,0.0967,0.2233,15.7209,7.3e-05,4.1175,,,9.4e-05,True,True
exploratory_heatmap,node2,fr,sd15,wilcoxon,150,38,0.1467,0.0667,0.22,156.0,0.001385,0.5046,,,0.0017,True,True
exploratory_heatmap,node3,fr,sd15,wilcoxon,150,85,0.1767,0.11,0.2433,819.5,2e-06,0.4791,,,3e-06,True,True
exploratory_heatmap,node5,fr,sd15,wilcoxon,150,149,0.0046,0.0035,0.0056,1888.0,0.0,0.5744,,,0.0,True,True
exploratory_heatmap,node1,es,sd15,mcnemar,150,44,0.23,0.16,0.29,16.5682,4.7e-05,4.2212,,,6.3e-05,True,True
exploratory_heatmap,node2,es,sd15,wilcoxon,150,44,0.1467,0.06,0.2267,247.5,0.00321,0.4354,,,0.003611,True,True
exploratory_heatmap,node3,es,sd15,wilcoxon,150,88,0.1967,0.1333,0.2667,798.0,0.0,0.5145,,,0.0,True,True
exploratory_heatmap,node5,es,sd15,wilcoxon,150,150,0.0075,0.0064,0.0087,778.0,0.0,0.7483,,,0.0,True,True
exploratory_heatmap,node1,de,flux,mcnemar,150,68,0.25,0.19,0.3067,47.7794,0.0,7.0335,,,0.0,True,True
exploratory_heatmap,node2,de,flux,wilcoxon,150,57,0.3,0.2166,0.3933,174.0,0.0,0.6867,,,0.0,True,True
exploratory_heatmap,node3,de,flux,wilcoxon,150,71,0.2333,0.1833,0.2867,157.5,0.0,0.7619,,,0.0,True,True
exploratory_heatmap,node4,de,flux,mcnemar,150,53,-0.0636,-0.1403,0.016,1.2075,0.271818,-1.2362,,,0.271818,False,True
exploratory_heatmap,node5,de,flux,wilcoxon,150,150,0.0046,0.0036,0.0057,1663.5,0.0,0.6126,,,0.0,True,True
exploratory_heatmap,node1,fr,flux,mcnemar,150,57,0.2167,0.1633,0.2667,40.4211,0.0,6.4902,,,0.0,True,True
exploratory_heatmap,node2,fr,flux,wilcoxon,150,57,0.22,0.1267,0.3133,348.0,1.2e-05,0.5036,,,1.7e-05,True,True
exploratory_heatmap,node3,fr,flux,wilcoxon,150,54,0.1533,0.1033,0.2,171.5,0.0,0.669,,,0.0,True,True
exploratory_heatmap,node4,fr,flux,mcnemar,150,72,-0.1873,-0.2726,-0.1037,10.125,0.001463,-3.2998,,,0.001717,True,True
exploratory_heatmap,node5,fr,flux,wilcoxon,150,149,0.0034,0.0026,0.0044,2041.5,0.0,0.5505,,,0.0,True,True
exploratory_heatmap,node1,es,flux,mcnemar,150,74,0.3233,0.2633,0.3831,60.6622,0.0,7.9048,,,0.0,True,True
exploratory_heatmap,node2,es,flux,wilcoxon,150,70,0.4,0.3067,0.4867,177.5,0.0,0.7449,,,0.0,True,True
exploratory_heatmap,node3,es,flux,wilcoxon,150,83,0.3033,0.2433,0.3567,136.0,0.0,0.8008,,,0.0,True,True
exploratory_heatmap,node4,es,flux,mcnemar,150,57,-0.1421,-0.2189,-0.0624,7.0175,0.008071,-2.7815,,,0.008717,True,True
exploratory_heatmap,node5,es,flux,wilcoxon,150,148,0.0056,0.0044,0.0069,1606.0,0.0,0.6148,,,0.0,True,True
