rating_id,brief_id,model,language,output_path
R2-001,MB014,flux,es,data\generated_images\phase2b\flux\es\MB014_seed42.png
R2-002,MB047,flux,es,data\generated_images\phase2b\flux\es\MB047_seed42.png
R2-003,MB137,sd15,fr,data\generated_images\phase2b\sd15\fr\MB137_seed42.png
R2-004,MB098,sd15,es,data\generated_images\phase2b\sd15\es\MB098_seed42.png
R2-005,MB044,flux,de,data\generated_images\phase2b\flux\de\MB044_seed42.png
R2-006,MB029,sd15,es,data\generated_images\phase2b\sd15\es\MB029_seed42.png
R2-007,MB101,flux,fr,data\generated_images\phase2b\flux\fr\MB101_seed42.png
R2-008,MB070,sd15,de,data\generated_images\phase2b\sd15\de\MB070_seed42.png
R2-009,MB069,sd15,es,data\generated_images\phase2b\sd15\es\MB069_seed42.png
R2-010,MB008,flux,es,data\generated_images\phase2b\flux\es\MB008_seed42.png
R2-011,MB052,flux,fr,data\generated_images\phase2b\flux\fr\MB052_seed42.png
R2-012,MB068,flux,de,data\generated_images\phase2b\flux\de\MB068_seed42.png
R2-013,MB012,sd15,es,data\generated_images\phase2b\sd15\es\MB012_seed42.png
R2-014,MB048,sd15,de,data\generated_images\phase2b\sd15\de\MB048_seed42.png
R2-015,MB062,flux,fr,data\generated_images\phase2b\flux\fr\MB062_seed42.png
R2-016,MB109,sd15,fr,data\generated_images\phase2b\sd15\fr\MB109_seed42.png
R2-017,MB051,sd15,de,data\generated_images\phase2b\sd15\de\MB051_seed42.png
R2-018,MB068,sd15,fr,data\generated_images\phase2b\sd15\fr\MB068_seed42.png
R2-019,MB023,sd15,de,data\generated_images\phase2b\sd15\de\MB023_seed42.png
R2-020,MB091,flux,es,data\generated_images\phase2b\flux\es\MB091_seed42.png
