config,dimension,n,spearman_rho,spearman_p,pearson_r,pearson_p
Config A (CLIP baseline),overall_vs_compliance,120,0.42203879847311615,1.5782202068461256e-06,0.44124805934818434,4.55020547717033e-07
Config C (flat),overall_vs_compliance,120,0.49434243485597723,9.562790879970747e-09,0.46367835370471866,9.636111240570301e-08
Config C (flat),objects,120,0.389092017383272,1.1229673785814205e-05,,
Config C (flat),spatial,120,0.15141852361040942,0.09876336851996488,,
Config C (flat),colour,120,0.37488972010351695,2.4578038217552953e-05,,
Config C (flat),typography,120,0.5955883477105195,7.22277884566206e-13,,
Config B (operational),overall_vs_compliance,120,0.44937393448963,2.626449684254366e-07,0.4170353512235676,2.15518488273114e-06
Config B (operational),objects,120,0.4234973276989657,1.4398303682893865e-06,,
Config B (operational),spatial,120,0.14765198159932674,0.10753968245856703,,
Config B (operational),colour,120,0.3724771179985188,2.797560476279815e-05,,
Config B (operational),typography,120,0.5264606357778183,6.579481247540744e-10,,
