rating_id_pass2,overall_pass2,objects_pass2,spatial_pass2,colour_pass2,typography_pass2,brief_id,model,language,output_path_pass2,rating_id_pass1,overall_pass1,objects_pass1,spatial_pass1,colour_pass1,typography_pass1,output_path_pass1,overall_diff,objects_diff,spatial_diff,colour_diff,typography_diff
R2-001,3,5,1,3,4,MB014,flux,es,data\generated_images\phase2b\flux\es\MB014_seed42.png,R1-116,3,5,1,3,4,data\generated_images\phase2b\flux\es\MB014_seed42.png,0,0,0,0,0
R2-002,4,3,1,5,2,MB047,flux,es,data\generated_images\phase2b\flux\es\MB047_seed42.png,R1-096,5,5,2,5,2,data\generated_images\phase2b\flux\es\MB047_seed42.png,1,2,1,0,0
R2-003,1,1,1,1,1,MB137,sd15,fr,data\generated_images\phase2b\sd15\fr\MB137_seed42.png,R1-058,3,3,1,2,1,data\generated_images\phase2b\sd15\fr\MB137_seed42.png,2,2,0,1,0
R2-004,2,1,1,1,1,MB098,sd15,es,data\generated_images\phase2b\sd15\es\MB098_seed42.png,R1-045,3,2,1,3,1,data\generated_images\phase2b\sd15\es\MB098_seed42.png,1,1,0,2,0
R2-005,4,4,4,3,1,MB044,flux,de,data\generated_images\phase2b\flux\de\MB044_seed42.png,R1-050,4,4,5,4,1,data\generated_images\phase2b\flux\de\MB044_seed42.png,0,0,1,1,0
R2-006,3,4,3,5,1,MB029,sd15,es,data\generated_images\phase2b\sd15\es\MB029_seed42.png,R1-046,3,3,1,4,1,data\generated_images\phase2b\sd15\es\MB029_seed42.png,0,1,2,1,0
R2-007,5,5,4,3,1,MB101,flux,fr,data\generated_images\phase2b\flux\fr\MB101_seed42.png,R1-032,4,5,4,4,2,data\generated_images\phase2b\flux\fr\MB101_seed42.png,1,0,0,1,1
R2-008,2,2,1,2,1,MB070,sd15,de,data\generated_images\phase2b\sd15\de\MB070_seed42.png,R1-100,2,2,1,2,1,data\generated_images\phase2b\sd15\de\MB070_seed42.png,0,0,0,0,0
R2-009,1,1,1,1,1,MB069,sd15,es,data\generated_images\phase2b\sd15\es\MB069_seed42.png,R1-048,2,1,1,2,1,data\generated_images\phase2b\sd15\es\MB069_seed42.png,1,0,0,1,0
R2-010,3,3,2,3,1,MB008,flux,es,data\generated_images\phase2b\flux\es\MB008_seed42.png,R1-108,4,4,1,3,2,data\generated_images\phase2b\flux\es\MB008_seed42.png,1,1,1,0,1
R2-011,3,4,4,2,1,MB052,flux,fr,data\generated_images\phase2b\flux\fr\MB052_seed42.png,R1-115,3,2,3,3,1,data\generated_images\phase2b\flux\fr\MB052_seed42.png,0,2,1,1,0
R2-012,3,2,1,3,1,MB068,flux,de,data\generated_images\phase2b\flux\de\MB068_seed42.png,R1-097,4,3,1,4,1,data\generated_images\phase2b\flux\de\MB068_seed42.png,1,1,0,1,0
R2-013,1,1,1,1,1,MB012,sd15,es,data\generated_images\phase2b\sd15\es\MB012_seed42.png,R1-061,2,2,1,2,1,data\generated_images\phase2b\sd15\es\MB012_seed42.png,1,1,0,1,0
R2-014,2,2,2,2,1,MB048,sd15,de,data\generated_images\phase2b\sd15\de\MB048_seed42.png,R1-103,4,4,2,4,1,data\generated_images\phase2b\sd15\de\MB048_seed42.png,2,2,0,2,0
R2-015,5,5,5,5,4,MB062,flux,fr,data\generated_images\phase2b\flux\fr\MB062_seed42.png,R1-060,5,5,5,5,4,data\generated_images\phase2b\flux\fr\MB062_seed42.png,0,0,0,0,0
R2-016,1,2,1,1,1,MB109,sd15,fr,data\generated_images\phase2b\sd15\fr\MB109_seed42.png,R1-004,2,2,1,2,1,data\generated_images\phase2b\sd15\fr\MB109_seed42.png,1,0,0,1,0
R2-017,1,1,1,1,1,MB051,sd15,de,data\generated_images\phase2b\sd15\de\MB051_seed42.png,R1-027,1,1,1,1,1,data\generated_images\phase2b\sd15\de\MB051_seed42.png,0,0,0,0,0
R2-018,1,1,1,1,1,MB068,sd15,fr,data\generated_images\phase2b\sd15\fr\MB068_seed42.png,R1-035,2,2,1,2,1,data\generated_images\phase2b\sd15\fr\MB068_seed42.png,1,1,0,1,0
R2-019,1,1,1,1,1,MB023,sd15,de,data\generated_images\phase2b\sd15\de\MB023_seed42.png,R1-008,1,1,1,1,1,data\generated_images\phase2b\sd15\de\MB023_seed42.png,0,0,0,0,0
R2-020,3,3,1,3,1,MB091,flux,es,data\generated_images\phase2b\flux\es\MB091_seed42.png,R1-036,3,3,2,4,1,data\generated_images\phase2b\flux\es\MB091_seed42.png,0,0,1,1,0
