rating_id,brief_id,model,language,output_path,overall,objects,spatial,colour,typography,compliance_score_configC,dag_likert_configC,disagreement,dag_compliant,human_compliant,node1_score_configC,node2_score_configC,node3_score_configC,node4_score_configC,suggested_primary_node,error_type,notes
R1-086,MB092,sd15,fr,data\generated_images\phase2b\sd15\fr\MB092_seed42.png,1,1,1,1,1,0.7604,4.0416,3.0416,True,False,1.0,1.0,1.0,0.0,typography,false_positive,
R1-107,MB022,sd15,es,data\generated_images\phase2b\sd15\es\MB022_seed42.png,1,1,1,1,1,0.7591,4.0364,3.0364000000000004,True,False,1.0,1.0,1.0,0.0,typography,false_positive,
R1-003,MB005,sd15,de,data\generated_images\phase2b\sd15\de\MB005_seed42.png,1,2,1,2,1,0.6604,3.6416,2.6416,True,False,1.0,1.0,0.5,0.0,typography,false_positive,
R1-047,MB066,sd15,de,data\generated_images\phase2b\sd15\de\MB066_seed42.png,1,1,1,1,1,0.6603,3.6412,2.6412,True,False,1.0,1.0,0.5,0.0,typography,false_positive,
R1-018,MB039,sd15,de,data\generated_images\phase2b\sd15\de\MB039_seed42.png,1,1,1,1,1,0.6601,3.6404,2.6404,True,False,1.0,1.0,0.5,0.0,typography,false_positive,
R1-080,MB079,sd15,fr,data\generated_images\phase2b\sd15\fr\MB079_seed42.png,1,1,1,1,1,0.6589,3.6356,2.6356,True,False,1.0,1.0,0.5,0.0,typography,false_positive,
R1-081,MB122,sd15,es,data\generated_images\phase2b\sd15\es\MB122_seed42.png,1,1,1,1,1,0.6587,3.6348,2.6348,True,False,1.0,1.0,0.5,0.0,typography,false_positive,
R1-057,MB082,sd15,de,data\generated_images\phase2b\sd15\de\MB082_seed42.png,1,1,1,1,1,0.6094,3.4376,2.4376,True,False,0.5,1.0,1.0,0.0,typography,false_positive,
R1-097,MB068,flux,de,data\generated_images\phase2b\flux\de\MB068_seed42.png,4,3,1,4,1,0.1604,1.6416,2.3584,False,True,0.0,0.0,0.5,0.0,objects,false_negative,
R1-073,MB079,sd15,de,data\generated_images\phase2b\sd15\de\MB079_seed42.png,1,1,1,1,1,0.5596,3.2384,2.2384,True,False,1.0,1.0,0.0,0.0,colour,false_positive,
R1-072,MB019,flux,es,data\generated_images\phase2b\flux\es\MB019_seed42.png,5,5,1,5,2,0.4612,2.8448,2.1552,False,True,1.0,0.0,0.5,0.0,spatial,false_negative,
R1-083,MB140,flux,es,data\generated_images\phase2b\flux\es\MB140_seed42.png,5,5,5,5,3,0.4704,2.8815999999999997,2.1184000000000003,False,True,0.0,1.0,0.5,0.5455,objects,false_negative,
R1-062,MB070,flux,de,data\generated_images\phase2b\flux\de\MB070_seed42.png,1,1,1,1,4,0.5108,3.0432,2.0432,True,False,0.5,0.0,0.5,1.0,spatial,false_positive,
R1-113,MB113,flux,de,data\generated_images\phase2b\flux\de\MB113_seed42.png,5,3,1,3,1,0.5109,3.0436,1.9564,True,True,0.5,0.0,1.0,0.5,spatial,,
R1-098,MB075,flux,de,data\generated_images\phase2b\flux\de\MB075_seed42.png,3,3,1,3,3,0.9611,4.8444,1.8444000000000003,True,True,1.0,1.0,1.0,1.0,objects,,
R1-030,MB124,sd15,es,data\generated_images\phase2b\sd15\es\MB124_seed42.png,3,3,2,2,1,0.0587,1.2348,1.7652,False,True,0.0,0.0,0.0,0.0,objects,false_negative,
R1-041,MB045,flux,de,data\generated_images\phase2b\flux\de\MB045_seed42.png,3,3,1,3,3,0.0604,1.2416,1.7584,False,True,0.0,0.0,0.0,0.0,objects,false_negative,
R1-096,MB047,flux,es,data\generated_images\phase2b\flux\es\MB047_seed42.png,5,5,2,5,2,0.5612,3.2448,1.7551999999999999,True,True,1.0,0.0,1.0,0.0,spatial,,
R1-088,MB131,sd15,fr,data\generated_images\phase2b\sd15\fr\MB131_seed42.png,2,5,3,2,1,0.6601,3.6404,1.6404,True,False,1.0,1.0,0.5,0.0,typography,false_positive,
R1-024,MB088,flux,fr,data\generated_images\phase2b\flux\fr\MB088_seed42.png,1,1,1,1,1,0.4101,2.6404,1.6404,False,False,0.5,0.0,0.0,1.0,spatial,,
R1-034,MB084,sd15,es,data\generated_images\phase2b\sd15\es\MB084_seed42.png,1,1,1,1,1,0.4098,2.6391999999999998,1.6391999999999998,False,False,0.5,0.0,1.0,0.0,spatial,,
R1-050,MB044,flux,de,data\generated_images\phase2b\flux\de\MB044_seed42.png,4,4,5,4,1,0.3504,2.4016,1.5983999999999998,False,True,0.5,0.0,0.5,0.2,spatial,false_negative,
R1-032,MB101,flux,fr,data\generated_images\phase2b\flux\fr\MB101_seed42.png,4,5,4,4,2,0.3557,2.4228,1.5772,False,True,0.5,0.0,0.5,0.2222,spatial,false_negative,
R1-052,MB127,flux,de,data\generated_images\phase2b\flux\de\MB127_seed42.png,4,4,4,3,2,0.3566,2.4264,1.5735999999999999,False,True,0.5,0.0,0.5,0.2222,spatial,false_negative,
R1-054,MB039,flux,fr,data\generated_images\phase2b\flux\fr\MB039_seed42.png,5,5,1,5,5,0.6119,3.4476,1.5524,True,True,0.5,0.0,1.0,1.0,spatial,,
R1-029,MB073,flux,fr,data\generated_images\phase2b\flux\fr\MB073_seed42.png,4,5,2,5,2,0.3917,2.5667999999999997,1.4332000000000003,False,True,0.5,0.0,0.5,0.4,spatial,false_negative,
R1-093,MB016,flux,es,data\generated_images\phase2b\flux\es\MB016_seed42.png,4,4,1,4,1,0.407,2.628,1.3719999999999999,False,True,0.0,0.0,1.0,0.7273,objects,false_negative,
R1-089,MB001,flux,es,data\generated_images\phase2b\flux\es\MB001_seed42.png,5,5,1,3,5,0.662,3.648,1.3519999999999999,True,True,1.0,0.0,0.5,1.0,spatial,,
R1-059,MB043,flux,fr,data\generated_images\phase2b\flux\fr\MB043_seed42.png,4,4,4,4,1,0.431,2.724,1.2759999999999998,False,True,0.5,0.0,0.5,0.6,spatial,false_negative,
R1-053,MB080,sd15,de,data\generated_images\phase2b\sd15\de\MB080_seed42.png,1,1,1,1,1,0.3105,2.242,1.242,False,False,0.5,0.0,0.5,0.0,spatial,,
R1-038,MB094,sd15,fr,data\generated_images\phase2b\sd15\fr\MB094_seed42.png,1,1,1,1,1,0.3095,2.238,1.238,False,False,0.5,0.0,0.5,0.0,spatial,,
R1-061,MB012,sd15,es,data\generated_images\phase2b\sd15\es\MB012_seed42.png,2,2,1,2,1,0.5594,3.2376,1.2376,True,False,1.0,0.0,1.0,0.0,spatial,false_positive,
R1-070,MB126,sd15,de,data\generated_images\phase2b\sd15\de\MB126_seed42.png,1,1,1,1,1,0.309,2.2359999999999998,1.2359999999999998,False,False,0.5,0.0,0.5,0.0,spatial,,
R1-027,MB051,sd15,de,data\generated_images\phase2b\sd15\de\MB051_seed42.png,1,1,1,1,1,0.3087,2.2348,1.2348,False,False,0.5,0.0,0.5,0.0,spatial,,
R1-090,MB149,sd15,fr,data\generated_images\phase2b\sd15\fr\MB149_seed42.png,1,1,1,1,1,0.3081,2.2324,1.2324000000000002,False,False,0.5,0.0,0.5,0.0,spatial,,
R1-049,MB135,flux,fr,data\generated_images\phase2b\flux\fr\MB135_seed42.png,5,5,5,5,5,0.7108,3.8432,1.1568,True,True,0.5,1.0,0.5,1.0,objects,,
R1-056,MB035,flux,es,data\generated_images\phase2b\flux\es\MB035_seed42.png,4,5,5,5,1,0.4615,2.846,1.154,False,True,1.0,0.0,0.5,0.0,spatial,false_negative,
R1-006,MB089,flux,fr,data\generated_images\phase2b\flux\fr\MB089_seed42.png,3,5,2,4,3,0.7623,4.0492,1.0492,True,True,1.0,0.0,1.0,1.0,spatial,,
R1-100,MB070,sd15,de,data\generated_images\phase2b\sd15\de\MB070_seed42.png,2,2,1,2,1,0.5115,3.046,1.0459999999999998,True,False,0.5,1.0,0.5,0.0,typography,false_positive,
R1-046,MB029,sd15,es,data\generated_images\phase2b\sd15\es\MB029_seed42.png,3,3,1,4,1,0.7609,4.0436,1.0435999999999996,True,True,1.0,1.0,1.0,0.0,typography,,
R1-028,MB105,flux,es,data\generated_images\phase2b\flux\es\MB105_seed42.png,1,1,1,1,1,0.2603,2.0412,1.0412,False,False,0.0,0.0,0.0,1.0,objects,,
R1-058,MB137,sd15,fr,data\generated_images\phase2b\sd15\fr\MB137_seed42.png,3,3,1,2,1,0.7597,4.0388,1.0388000000000002,True,True,1.0,1.0,1.0,0.0,typography,,
R1-066,MB067,sd15,de,data\generated_images\phase2b\sd15\de\MB067_seed42.png,2,2,1,2,1,0.5097,3.0388,1.0388000000000002,True,False,0.5,1.0,0.5,0.0,typography,false_positive,
R1-068,MB045,sd15,es,data\generated_images\phase2b\sd15\es\MB045_seed42.png,2,2,1,2,1,0.5095,3.038,1.0379999999999998,True,False,0.5,1.0,0.5,0.0,typography,false_positive,
